"Part";"Value";"Device";"Package";"Description";"";
"C1";"10u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C2";"4u7";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C3";"2n2";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"C4";"10n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";
"D1";"0v2";"BOOSTDIODE";"DO-214AB";"";"";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";
"L1";"4u7";"SDEI054T";"SDES053T";"4.7uH Inductor";"";
"R1";"86k6";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R2";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R3";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R4";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R5";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"U1";"MP3213DH";"MP3213DH";"8-TSSOP";"3.5A Boost Converter Regulator";"";
"X1";"BATT";"MST2V";"MSTBV2";"PHOENIX";"";
"X2";"CAM1";"MSTBV2";"MSTBV2";"PHOENIX";"";
"X3";"CAM2";"MSTBV2";"MSTBV2";"PHOENIX";"";
"X4";"CAM3";"MSTBV2";"MSTBV2";"PHOENIX";"";
"X5";"DIS1";"MSTBV2";"MSTBV2";"PHOENIX";"";
"X6";"DIS2";"MSTBV2";"MSTBV2";"PHOENIX";"";
"X7";"DIS3";"MSTBV2";"MSTBV2";"PHOENIX";"";
