"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0v2";"BOOSTDIODE";"DO-214AB";"D1";"";"";
"2";"100k";"R-US_R0402";"R0402";"R4, R5";"RESISTOR, American symbol";"";
"2";"10k";"R-US_R0402";"R0402";"R2, R3";"RESISTOR, American symbol";"";
"1";"10n";"C-USC0603";"C0603";"C4";"CAPACITOR, American symbol";"";
"1";"10u";"C-USC0603";"C0603";"C1";"CAPACITOR, American symbol";"";
"1";"2n2";"C-USC0603";"C0603";"C3";"CAPACITOR, American symbol";"";
"1";"4u7";"C-USC0603";"C0603";"C2";"CAPACITOR, American symbol";"";
"1";"4u7";"SDEI054T";"SDES053T";"L1";"4.7uH Inductor";"";
"1";"86k6";"R-US_R0402";"R0402";"R1";"RESISTOR, American symbol";"";
"1";"BATT";"MST2V";"MSTBV2";"X1";"PHOENIX";"";
"1";"CAM1";"MSTBV2";"MSTBV2";"X2";"PHOENIX";"";
"1";"CAM2";"MSTBV2";"MSTBV2";"X3";"PHOENIX";"";
"1";"CAM3";"MSTBV2";"MSTBV2";"X4";"PHOENIX";"";
"1";"DIS1";"MSTBV2";"MSTBV2";"X5";"PHOENIX";"";
"1";"DIS2";"MSTBV2";"MSTBV2";"X6";"PHOENIX";"";
"1";"DIS3";"MSTBV2";"MSTBV2";"X7";"PHOENIX";"";
"2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"H1, H2";"MOUNTING HOLE with drill center marker";"";
"1";"MP3213DH";"MP3213DH";"8-TSSOP";"U1";"3.5A Boost Converter Regulator";"";
