"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"DIODE-DO-214AC";"DO-214AC";"D12, D14, D16, D18";"DIODE";"";
"1";"";"DIODE-SOD80C";"SOD80C";"D10";"DIODE";"";
"4";"0.47u";"C-USC1206K";"C1206K";"C12, C16, C20, C24";"CAPACITOR, American symbol";"";
"4";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"JMP2, JMP4, JMP6, JMP8";"SMD 0R 0805 Jumper";"";
"1";"100n";"C-USC0402";"C0402";"C4";"CAPACITOR, American symbol";"";
"12";"10k";"R-US_R0402";"R0402";"R5, R7, R8, R9, R10, R11, R14, R20, R21, R22, R23, R27";"RESISTOR, American symbol";"";
"5";"10k";"TRIM_US-RJ9W";"RJ9W";"R26, R28, R32, R38, R44";"POTENTIOMETER";"";
"1";"10n";"C-USC0402";"C0402";"C1";"CAPACITOR, American symbol";"";
"2";"10u";"C-USC0805";"C0805";"C7, C8";"CAPACITOR, American symbol";"";
"4";"10u";"C-USC1206K";"C1206K";"C11, C15, C19, C23";"CAPACITOR, American symbol";"";
"1";"124k";"R-US_R0402";"R0402";"R13";"RESISTOR, American symbol";"";
"1";"13V";"BAS70";"SOT23";"D8";"Silicon Schottky Diodes";"";
"1";"15p";"C-USC0402";"C0402";"C3";"CAPACITOR, American symbol";"";
"4";"1k";"R-US_R0402";"R0402";"R16, R17, R18, R19";"RESISTOR, American symbol";"";
"1";"1u";"C-USC0402";"C0402";"C2";"CAPACITOR, American symbol";"";
"4";"200m";"R-US_R0805";"R0805";"R25, R31, R37, R43";"RESISTOR, American symbol";"";
"1";"22.1k";"R-US_R0402";"R0402";"R12";"RESISTOR, American symbol";"";
"2";"22u";"C-USC0805";"C0805";"C5, C6";"CAPACITOR, American symbol";"";
"4";"2k";"R-US_R0402";"R0402";"R1, R2, R3, R4";"RESISTOR, American symbol";"";
"1";"31k";"R-US_R0402";"R0402";"R6";"RESISTOR, American symbol";"";
"1";"3u3";"SDES064T-3R3MS";"SDES064T";"L1";"";"";
"4";"4u7";"NR6028NR6028";"INDDFN600X600X280-2N";"L3, L5, L7, L9";"";"";
"3";"5V1";"DIODE-SOD323-R";"SOD323-R";"D6, D7, D9";"DIODE";"";
"1";"5VREG";"AP65450SP-13";"SO-8EP";"U3";"AP65450";"";
"4";"820m";"R-US_R0603";"R0603";"R24, R30, R36, R42";"RESISTOR, American symbol";"";
"4";"AP3031KTR-G1";"AP3031KTR-G1";"SOT23-6";"U7, U9, U11, U13";"AP3031 step-up LED driver chip for LEDs up to 1.4A";"";
"5";"BAS40-04";"BAS40-04";"SOT23";"D1, D2, D3, D4, D5";"Silicon Schottky Diodes";"";
"1";"BATT";"MTA02-156";"1X2MTA";"J1";"AMP connector";"";
"1";"BLUEPILL";"BLUE_PILL";"BLUE_PILL";"U2";"";"";
"1";"DHT22";"TEMP-HUM-SENSOR-DHT22";"TEMP-HUM-SENSOR-DHT22";"U4";"DHT22 - digital humidity & temperature sensor";"";
"1";"ENCODER";"2172034-1";"TE_2172034-1";"J4";"CONN RCPT USB MINI B 2.0 PCB R/A";"";
"1";"EXT5V";"MTA02-156";"1X2MTA";"J2";"AMP connector";"";
"1";"HEAD";"PINHD-1X2";"1X02";"JP1";"PIN HEADER";"";
"1";"LEFT";"PINHD-1X2";"1X02";"JP3";"PIN HEADER";"";
"1";"LGHT_CTRL";"PINHD-1X5";"1X05";"J3";"PIN HEADER";"";
"1";"MONITOR";"DCJ0303";"DCJ0303";"J5";"DC POWER JACK";"";
"1";"OK";"LEDSML0805";"SML0805";"LED4";"LED";"";
"1";"OV";"LEDSML0805";"SML0805";"LED2";"LED";"";
"1";"OV";"SI3493DDV-T1-GE3";"TSOP-6";"G2";"20V P-CH MOSFET";"";
"1";"OV2";"SI3493DDV-T1-GE3";"TSOP-6";"G3";"20V P-CH MOSFET";"";
"1";"RASPI_HAT";"RASPI_HAT";"RASPI_BOARD_B+HAT_CF";"U1";"";"";
"1";"REV_POL";"SI3493DDV-T1-GE3";"TSOP-6";"G1";"20V P-CH MOSFET";"";
"1";"RIGHT";"PINHD-1X2";"1X02";"JP4";"PIN HEADER";"";
"1";"RP";"LEDSML0805";"SML0805";"LED1";"LED";"";
"1";"SHDN";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";
"1";"TAIL";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";
"3";"TPSQTP20R";"TPSQTP20R";"TP20R";"TP2, TP3, TP4";"Test pad";"";
"1";"TPSQTP20SQ";"TPSQTP20SQ";"TP20SQ";"TP1";"Test pad";"";
"1";"ULTIMATE-GPS";"ULTIMATE-GPS";"ULTIMATE_GPS";"M2";"";"";
"1";"UV";"LEDSML0805";"SML0805";"LED3";"LED";"";
"1";"UV_OPAMP";"TA75S558F,LF";"SOT-753";"U5";"";"";
"1";"WIRELESS-NRF24L01-PA-EXT";"WIRELESS-NRF24L01-PA-EXT";"WIRELESS-NRF24L01-PA-EXT";"M1";"2.4 GHz Wireless Module based on NRF24L01 chip with preamplifier and external antenna";"";
